City,SalesQuantity,latitude,longitude,Country
Aberdeen,245047.0,57.1497,-2.0943,Escocia
Alnwick,17772.0,55.4125,-1.7051,Inglaterra
Arran,514513.0,55.5751,-5.2574,Escocia
Athelney,259205.0,51.0865,-2.9103,Inglaterra
Ballymena,140681.0,54.8638,-6.2763,Irlanda del Norte
Banbury,44986.0,52.0629,-1.3407,Inglaterra
Barnstaple,238917.0,51.0802,-4.0585,Inglaterra
Barrow-in-Furness,4923.0,54.1117,-3.227,Inglaterra
Bexhill,235615.0,50.85,0.4702,Inglaterra
Blackpool,30280.0,53.8175,-3.0357,Inglaterra
Cardiff,22764.0,51.4816,-3.1791,Gales
Chesterfield,264512.0,53.235,-1.4216,Inglaterra
Clacton-on-Sea,287800.0,51.7915,1.1558,Inglaterra
Cleethorpes,295697.0,53.5535,-0.0251,Inglaterra
Doncaster,1372066.0,53.5228,-1.1285,Inglaterra
Drybrook,444991.0,51.8729,-2.5354,Inglaterra
Eastbourne,97702.0,50.768,0.2905,Inglaterra
Gargrave,440464.0,53.9832,-2.1054,Inglaterra
Gloucester,323232.0,51.8642,-2.2382,Inglaterra
Grays,103728.0,51.4765,0.3222,Inglaterra
Guisborough,237327.0,54.5354,-1.0562,Inglaterra
Hartlepool,212650.0,54.6861,-1.2127,Inglaterra
Hornsea,42277.0,53.9107,-0.1688,Inglaterra
Huddersfield,323609.0,53.645,-1.7795,Inglaterra
Inverness,1299790.0,57.4778,-4.2247,Escocia
Keld,147693.0,54.3734,-2.2188,Inglaterra
Kilmarnock,211932.0,55.6117,-4.4958,Escocia
Lanteglos,134357.0,50.5416,-4.4891,Inglaterra
Leeds,10622.0,53.8008,-1.5491,Inglaterra
Lundy,9156.0,51.1767,-4.6675,Inglaterra
Luton,138612.0,51.8787,-0.42,Inglaterra
Monmouth,1208697.0,51.8125,-2.7143,Gales
Norfolk,198096.0,52.6305,1.2974,Inglaterra
Oldham,11954.0,53.5409,-2.1114,Inglaterra
Penzance,172307.0,50.1186,-5.5371,Inglaterra
Pontypridd,344707.0,51.6015,-3.3425,Gales
Salisbury,362759.0,51.0688,-1.7945,Inglaterra
Southwark,113038.0,51.5035,-0.0811,Inglaterra
Stanmore,304140.0,51.6197,-0.3021,Inglaterra
Sutton,107156.0,51.3617,-0.194,Inglaterra
Tamworth,126882.0,52.6313,-1.6653,Inglaterra
West Bromwich,26043.0,52.5192,-1.9953,Inglaterra
Winterton,6995.0,53.6572,-0.5985,Inglaterra
