ds,y
2016-01-01,572.0
2016-01-02,1758.0
2016-01-03,856.0
2016-01-04,755.0
2016-01-05,529.0
2016-01-06,826.0
2016-01-07,1505.0
2016-01-08,1457.0
2016-01-09,1688.0
2016-01-10,838.0
2016-01-11,689.0
2016-01-12,687.0
2016-01-13,821.0
2016-01-14,1291.0
2016-01-15,1245.0
2016-01-16,1493.0
2016-01-17,1609.0
2016-01-18,596.0
2016-01-19,861.0
2016-01-20,983.0
2016-01-21,1411.0
2016-01-22,1729.0
2016-01-23,1807.0
2016-01-24,1014.0
2016-01-25,500.0
2016-01-26,827.0
2016-01-27,1270.0
2016-01-28,1475.0
2016-01-29,2676.0
2016-01-30,1414.0
2016-01-31,1171.0
2016-03-01,893.0
2016-03-02,634.0
2016-03-03,1249.0
2016-03-04,739.0
2016-03-05,1126.0
2016-03-06,1492.0
2016-03-07,826.0
2016-03-08,627.0
2016-03-09,774.0
2016-03-10,1418.0
2016-03-11,1478.0
2016-03-12,1612.0
2016-03-13,1114.0
2016-03-14,1099.0
2016-03-15,1176.0
2016-03-16,627.0
2016-03-17,678.0
2016-03-18,815.0
2016-03-19,1452.0
2016-03-20,1273.0
2016-03-21,584.0
2016-03-22,601.0
2016-03-23,1194.0
2016-03-24,693.0
2016-03-25,667.0
2016-03-26,1400.0
2016-03-27,1971.0
2016-03-28,824.0
2016-03-29,523.0
2016-03-30,346.0
2016-03-31,926.0
2016-04-01,1222.0
2016-04-02,1760.0
2016-04-03,1451.0
2016-04-04,743.0
2016-04-05,695.0
2016-04-06,1540.0
2016-04-07,509.0
2016-04-08,965.0
2016-04-09,1881.0
2016-04-10,1684.0
2016-04-11,658.0
2016-04-12,1084.0
2016-04-13,619.0
2016-04-14,1000.0
2016-04-15,1106.0
2016-04-16,1235.0
2016-04-17,1907.0
2016-04-18,1127.0
2016-04-19,1244.0
2016-04-20,753.0
2016-04-21,518.0
2016-04-22,1066.0
2016-04-23,1909.0
2016-04-24,1684.0
2016-04-25,1264.0
2016-04-26,964.0
2016-04-27,819.0
2016-04-28,534.0
2016-04-29,728.0
2016-04-30,1420.0
2016-05-01,1091.0
2016-05-02,1331.0
2016-05-03,835.0
2016-05-04,1088.0
2016-05-05,880.0
2016-05-06,823.0
2016-05-07,1136.0
2016-05-08,1789.0
2016-05-09,797.0
2016-05-10,732.0
2016-05-11,794.0
2016-05-12,681.0
2016-05-13,1129.0
2016-05-14,1308.0
2016-05-15,1432.0
2016-05-16,864.0
2016-05-17,1007.0
2016-05-18,741.0
2016-05-19,859.0
2016-05-20,1044.0
2016-05-21,1211.0
2016-05-22,1148.0
2016-05-23,1176.0
2016-05-24,1374.0
2016-05-25,1198.0
2016-05-26,771.0
2016-05-27,669.0
2016-05-28,1534.0
2016-05-29,1027.0
2016-05-30,680.0
2016-05-31,567.0
2016-06-01,1224.0
2016-06-02,1166.0
2016-06-03,1059.0
2016-06-04,1016.0
2016-06-05,1391.0
2016-06-06,896.0
2016-06-07,1280.0
2016-06-08,833.0
2016-06-09,947.0
2016-06-10,1288.0
2016-06-11,1482.0
2016-06-12,1440.0
2016-06-13,1121.0
2016-06-14,540.0
2016-06-15,721.0
2016-06-16,968.0
2016-06-17,1248.0
2016-06-18,1547.0
2016-06-19,1192.0
2016-06-20,1103.0
2016-06-21,798.0
2016-06-22,713.0
2016-06-23,1023.0
2016-06-24,785.0
2016-06-25,1349.0
2016-06-26,1403.0
2016-06-27,1030.0
2016-06-28,773.0
2016-06-29,1098.0
2016-06-30,1046.0
2016-07-01,1153.0
2016-07-02,1749.0
2016-07-03,1370.0
2016-07-04,1257.0
2016-07-05,858.0
2016-07-06,1299.0
2016-07-07,1720.0
2016-07-08,1417.0
2016-07-09,1365.0
2016-07-10,1131.0
2016-07-11,373.0
2016-07-12,1260.0
2016-07-13,548.0
2016-07-14,963.0
2016-07-15,976.0
2016-07-16,1215.0
2016-07-17,1242.0
2016-07-18,557.0
2016-07-19,1120.0
2016-07-20,1230.0
2016-07-21,999.0
2016-07-22,1268.0
2016-07-23,1125.0
2016-07-24,1174.0
2016-07-25,869.0
2016-07-26,951.0
2016-07-27,1007.0
2016-07-28,723.0
2016-07-29,426.0
2016-07-30,1333.0
2016-07-31,1588.0
2016-08-01,893.0
2016-08-02,634.0
2016-08-03,1249.0
2016-08-04,739.0
2016-08-05,673.0
2016-08-06,1473.0
2016-08-07,1285.0
2016-08-08,627.0
2016-08-09,774.0
2016-08-10,1418.0
2016-08-11,1478.0
2016-08-12,1138.0
2016-08-13,1101.0
2016-08-14,1560.0
2016-08-15,1176.0
2016-08-16,627.0
2016-08-17,678.0
2016-08-18,815.0
2016-08-19,952.0
2016-08-20,1288.0
2016-08-21,1072.0
2016-08-22,601.0
2016-08-23,1194.0
2016-08-24,693.0
2016-08-25,667.0
2016-08-26,961.0
2016-08-27,1997.0
2016-08-28,1291.0
2016-08-29,523.0
2016-08-30,346.0
2016-08-31,926.0
2016-09-01,1222.0
2016-09-02,1331.0
2016-09-03,1433.0
2016-09-04,1202.0
2016-09-05,695.0
2016-09-06,1540.0
2016-09-07,509.0
2016-09-08,965.0
2016-09-09,1399.0
2016-09-10,1670.0
2016-09-11,1141.0
2016-09-12,1084.0
2016-09-13,619.0
2016-09-14,1000.0
2016-09-15,1106.0
2016-09-16,751.0
2016-09-17,1884.0
2016-09-18,1611.0
2016-09-19,1244.0
2016-09-20,753.0
2016-09-21,518.0
2016-09-22,1066.0
2016-09-23,1436.0
2016-09-24,1715.0
2016-09-25,1790.0
2016-09-26,964.0
2016-09-27,819.0
2016-09-28,534.0
2016-09-29,728.0
2016-09-30,948.0
2016-10-01,1098.0
2016-10-02,1790.0
2016-10-03,835.0
2016-10-04,1088.0
2016-10-05,880.0
2016-10-06,823.0
2016-10-07,706.0
2016-10-08,1772.0
2016-10-09,1237.0
2016-10-10,732.0
2016-10-11,794.0
2016-10-12,681.0
2016-10-13,1129.0
2016-10-14,852.0
2016-10-15,1408.0
2016-10-16,1284.0
2016-10-17,1007.0
2016-10-18,741.0
2016-10-19,859.0
2016-10-20,1044.0
2016-10-21,759.0
2016-10-22,1131.0
2016-10-23,1642.0
2016-10-24,1374.0
