City,MAE,MSE,RMSE,R2
Penzance,153.0898039252731,33919.27343193312,184.17185841472394,0.19336807648629195
Norfolk,183.90157750288495,54260.43491019571,232.93869345859162,0.3103135988153497
Gargrave,201.23142352716218,71052.42233923229,266.5566025054196,0.48073519361885064
Monmouth,515.899725249542,471159.40711857995,686.4105237527904,0.38025555573116065
Aberdeen,171.94554572447373,56150.22493983289,236.96038685787312,-0.07814024783647189
Grays,118.70049479899689,20478.81283080263,143.10420270139738,0.057040520730156086
Guisborough,164.38194191950663,45572.40598228138,213.4769448495115,0.3526438310569331
Drybrook,257.97834210199943,101973.09563354038,319.33226525601884,0.309271342824737
Bexhill,183.61718004302008,53449.057146654406,231.19052131662838,0.13402209741434468
Lanteglos,136.4263283194243,31144.864003950133,176.4790752580887,0.08096727191064246
Hartlepool,166.6990957655078,49697.085421787866,222.92843116522366,0.2142931970184756
Cleethorpes,207.43365826679906,66437.53026550554,257.75478708552737,0.16639334497210312
Gloucester,313.4436176449635,132653.3551745011,364.21608308049923,-0.5830443636645743
Arran,267.48142205619064,114604.01737459938,338.53215116824487,0.33497972130966136
Athelney,254.14339477552014,88558.50454128,297.5878097995279,-0.4420655975811638
Kilmarnock,135.70334805872628,28449.45208109371,168.66965370538267,0.28582487660687284
Southwark,143.52424662460348,39426.77703084395,198.56177132279,-0.3688970458454215
Chesterfield,214.47608087498895,63629.346708367266,252.2485811820698,0.13516084641449766
Luton,143.8386049202885,27825.79680230695,166.8106615366864,0.07223197411567261
Inverness,511.4284004438371,417511.8478213543,646.1515672203808,0.5131856470609982
Salisbury,221.18902287966372,74923.10765024633,273.72085717067,0.13921669383665058
Stanmore,248.1393370609586,96152.41353025264,310.08452642828314,0.1908806891734155
Keld,143.76772037815266,33085.21976791112,181.8934296996764,0.17055009483662975
Clacton-on-Sea,293.5037833403156,118384.02248709631,344.06979304655084,-0.2498749685556838
Huddersfield,214.30988781828003,68076.35056213611,260.9144506579429,0.24545255888622464
Doncaster,539.6189376445795,453243.33790869784,673.2334943455338,0.545639857438329
Pontypridd,294.36968321228835,150797.61206835625,388.32668214836366,0.12033657485275862
Barnstaple,197.34720277659122,57014.70893076964,238.77753020493708,0.08801414046432621
Tamworth,129.20570519410518,26333.717780513554,162.27667047519046,-0.05824352426797419
Eastbourne,101.84257979990517,15759.38744549617,125.53639888692112,0.13456731870352834
Ballymena,124.8780515428798,25616.02448625755,160.05006868557587,-0.10485370231010283
Sutton,119.15792058571321,21566.381877833548,146.85496885646583,-0.14621219972892785
